PTW dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

A_dim_7_1.wav Adim ['Adim', 0.49, {'C', 'A', 'Eb'}, 'Eb']
E_min_3_0.wav Emin ['Gmaj', 0.4, {'B', 'G', 'D'}, 'B']
E_min_3_1.wav Emin ['Emin', 0.67, {'B', 'G', 'E'}, 'E']
E_min_4_0.wav Emin ['E', 0.41, {'B', 'E', 'D'}, 'E']
E_min_4_1.wav Emin ['E', 0.45, {'B', 'E', 'D'}, 'E']
E_min_5_0.wav Emin ['Emin', 0.49, {'G', 'B', 'E'}, 'E']
E_min_5_1.wav Emin ['Emin', 0.61, {'B', 'G', 'E'}, 'E']
E_min_6_0.wav Emin ['Emin', 0.13, {'G', 'B', 'E'}, 'E']
E_min_6_1.wav Emin ['Emin', 0.41, {'B', 'G', 'E'}, 'E']
E_min_7_0.wav Emin ['Emin', 0.28, {'G', 'B', 'E'}, 'E']
Fs_dim_7_1.wav Gbdim ['Gbdim', 0.74, {'C', 'Gb', 'A'}, 'A']
Fs_dim_2_0.wav Gbdim ['A', 0.76, {'C', 'Db', 'A'}, 'A']
Fs_dim_2_1.wav Gbdim ['A', 0.65, {'C', 'Db', 'A'}, 'A']
Fs_dim_3_0.wav Gbdim ['Gbdim', 0.86, {'C', 'Gb', 'A'}, 'C']
Fs_dim_3_1.wav Gbdim ['Amin', 0.78, {'C', 'E', 'A'}, 'C']
Fs_dim_4_0.wav Gbdim ['C', 0.54, {'C', 'Db', 'A'}, 'C']
Fs_dim_4_1.wav Gbdim ['Gbdim', 0.57, {'C', 'Gb', 'A'}, 'C']
Fs_dim_5_0.wav Gbdim ['Gbdim', 0.64, {'C', 'Gb', 'A'}, 'C']
Fs_dim_5_1.wav Gbdim ['Gbdim', 0.32, {'C', 'Gb', 'A'}, 'C']
Fs_dim_6_0.wav Gbdim ['Gbdim', 0.48, {'C', 'Gb', 'A'}, 'Gb']
Fs_dim_6_1.wav Gbdim ['Gbdim', 0.7, {'C', 'Gb', 'A'}, 'Gb']
Fs_dim_7_0.wav Gbdim ['Gbdim', 0.5, {'C', 'Gb', 'A'}, 'Gb']
Fs_maj_7_1.wav Gbmaj ['Gbmaj', 0.97, {'Gb', 'Db', 'Bb'}, 'Gb']
Fs_maj_2_0.wav Gbmaj ['Bb', 0.63, {'Db', 'Bb', 'D'}, 'Bb']
Fs_maj_2_1.wav Gbmaj ['Db', 0.57, {'Db', 'Bb', 'D'}, 'Db']
Fs_maj_3_0.wav Gbmaj ['Gbmaj', 0.71, {'Gb', 'Db', 'Bb'}, 'Db']
Fs_maj_3_1.wav Gbmaj ['Bbmin', 0.81, {'Db', 'Bb', 'F'}, 'Db']
Fs_maj_4_0.wav Gbmaj ['Gbmaj', 0.47, {'Gb', 'Db', 'Bb'}, 'Db']
Fs_maj_4_1.wav Gbmaj ['Gbmaj', 0.59, {'Gb', 'Db', 'Bb'}, 'Db']
Fs_maj_5_0.wav Gbmaj ['Gbmaj', 0.69, {'Gb', 'Db', 'Bb'}, 'Db']
Fs_maj_5_1.wav Gbmaj ['Gbmaj', 0.31, {'Gb', 'Db', 'Bb'}, 'Db']
Fs_maj_6_0.wav Gbmaj ['Gbmaj', 0.35, {'Gb', 'Db', 'Bb'}, 'Gb']
Fs_maj_6_1.wav Gbmaj ['Gbmaj', 0.51, {'Gb', 'Db', 'Bb'}, 'Gb']
Fs_maj_7_0.wav Gbmaj ['Gbmaj', 0.52, {'Gb', 'Db', 'Bb'}, 'Gb']
Fs_min_7_1.wav Gbmin ['Gbmin', 0.8, {'Gb', 'Db', 'A'}, 'A']
Fs_min_2_0.wav Gbmin ['Gbmin', 0.56, {'Gb', 'Db', 'A'}, '']
Fs_min_2_1.wav Gbmin ['Gbmin', 0.52, {'Gb', 'Db', 'A'}, 'Db']
Fs_min_3_0.wav Gbmin ['Gbmin', 0.72, {'Gb', 'Db', 'A'}, 'Db']
Fs_min_3_1.wav Gbmin ['Amaj', 0.81, {'Db', 'A', 'E'}, 'Db']
Fs_min_4_0.wav Gbmin ['Gbmin', 0.47, {'Gb', 'Db', 'A'}, 'Db']
Fs_min_4_1.wav Gbmin ['Gbmin', 0.59, {'Gb', 'Db', 'A'}, 'Db']
Fs_min_5_0.wav Gbmin ['Gbmin', 0.62, {'Gb', 'Db', 'A'}, 'Db']
Fs_min_5_1.wav Gbmin ['Gbmin', 0.31, {'Gb', 'Db', 'A'}, 'Db']
Fs_min_6_0.wav Gbmin ['Gbmin', 0.36, {'Gb', 'Db', 'A'}, 'Gb']
Fs_min_6_1.wav Gbmin ['Gbmin', 0.52, {'Gb', 'Db', 'A'}, 'Gb']
Fs_min_7_0.wav Gbmin ['Gbmin', 0.53, {'Gb', 'Db', 'A'}, 'Gb']
F_dim_7_1.wav Fdim ['Fdim', 0.51, {'B', 'Ab', 'F'}, 'F']
F_dim_2_0.wav Fdim ['B', 0.72, {'C', 'B', 'Eb'}, 'B']
F_dim_2_1.wav Fdim ['B', 0.64, {'B', 'F', 'Eb'}, 'B']
F_dim_3_0.wav Fdim ['Fdim', 0.53, {'B', 'Ab', 'F'}, 'B']
F_dim_3_1.wav Fdim ['Fdim', 0.54, {'B', 'Ab', 'F'}, '']
F_dim_4_0.wav Fdim ['Fdim', 0.7, {'B', 'Ab', 'F'}, 'F']
F_dim_4_1.wav Fdim ['Fdim', 0.7, {'B', 'Ab', 'F'}, 'F']
F_dim_5_0.wav Fdim ['Fdim', 0.43, {'B', 'Ab', 'F'}, 'F']
F_dim_5_1.wav Fdim ['Fdim', 0.55, {'B', 'Ab', 'F'}, 'F']
F_dim_6_0.wav Fdim ['Fmin', 0.14, {'C', 'Ab', 'F'}, 'F']
F_dim_6_1.wav Fdim ['Fdim', 0.48, {'B', 'Ab', 'F'}, 'F']
F_dim_7_0.wav Fdim ['Fdim', 0.33, {'B', 'Ab', 'F'}, 'F']
F_maj_7_1.wav Fmaj ['Fmaj', 0.55, {'C', 'A', 'F'}, 'F']
F_maj_2_0.wav Fmaj ['Fmaj', 0.66, {'C', 'A', 'F'}, 'C']
F_maj_2_1.wav Fmaj ['A', 0.69, {'C', 'Db', 'A'}, 'A']
F_maj_3_0.wav Fmaj ['Fmaj', 0.75, {'C', 'A', 'F'}, 'C']
F_maj_3_1.wav Fmaj ['Fmaj', 0.62, {'C', 'A', 'F'}, 'F']
F_maj_4_0.wav Fmaj ['Fmaj', 0.66, {'C', 'A', 'F'}, 'F']
F_maj_4_1.wav Fmaj ['Fmaj', 0.67, {'C', 'A', 'F'}, 'F']
F_maj_5_0.wav Fmaj ['Fmaj', 0.4, {'C', 'A', 'F'}, 'F']
F_maj_5_1.wav Fmaj ['Fmaj', 0.51, {'C', 'A', 'F'}, 'F']
F_maj_6_0.wav Fmaj ['Fmaj', 0.15, {'C', 'A', 'F'}, 'F']
F_maj_6_1.wav Fmaj ['Fmaj', 0.48, {'C', 'A', 'F'}, 'F']
F_maj_7_0.wav Fmaj ['Fmaj', 0.36, {'C', 'A', 'F'}, 'F']
F_min_7_1.wav Fmin ['Fmin', 0.55, {'C', 'Ab', 'F'}, 'F']
F_min_2_0.wav Fmin ['C', 0.65, {'C', 'F', 'Eb'}, 'C']
F_min_2_1.wav Fmin ['C', 0.68, {'C', 'F', 'Eb'}, 'C']
F_min_3_0.wav Fmin ['Fmin', 0.62, {'C', 'Ab', 'F'}, 'C']
F_min_3_1.wav Fmin ['Fmin', 0.54, {'C', 'Ab', 'F'}, 'F']
F_min_4_0.wav Fmin ['Fmin', 0.7, {'C', 'Ab', 'F'}, 'F']
F_min_4_1.wav Fmin ['Fmin', 0.7, {'C', 'Ab', 'F'}, 'F']
F_min_5_0.wav Fmin ['Fmin', 0.42, {'C', 'Ab', 'F'}, 'F']
F_min_5_1.wav Fmin ['Fmin', 0.55, {'C', 'Ab', 'F'}, 'F']
F_min_6_0.wav Fmin ['Fmin', 0.15, {'C', 'Ab', 'F'}, 'F']
F_min_6_1.wav Fmin ['Fmin', 0.48, {'C', 'Ab', 'F'}, 'F']
F_min_7_0.wav Fmin ['Fmin', 0.35, {'C', 'Ab', 'F'}, 'F']
Gs_dim_7_1.wav Abdim ['Abdim', 0.81, {'B', 'Ab', 'D'}, 'D']
Gs_dim_2_0.wav Abdim ['Abmin', 0.55, {'B', 'Ab', 'Eb'}, 'B']
Gs_dim_2_1.wav Abdim ['Abmin', 0.52, {'B', 'Ab', 'Eb'}, 'B']
Gs_dim_3_0.wav Abdim ['B', 0.58, {'B', 'A', 'D'}, 'B']
Gs_dim_3_1.wav Abdim ['B', 0.63, {'A', 'B', 'Ab'}, 'B']
Gs_dim_4_0.wav Abdim ['Abdim', 0.83, {'B', 'Ab', 'D'}, 'B']
Gs_dim_4_1.wav Abdim ['Abdim', 0.51, {'B', 'Ab', 'D'}, 'B']
Gs_dim_5_0.wav Abdim ['Abdim', 0.54, {'B', 'Ab', 'D'}, 'B']
Gs_dim_5_1.wav Abdim ['Abdim', 0.18, {'B', 'Ab', 'D'}, 'B']
Gs_dim_6_0.wav Abdim ['Abdim', 0.6, {'B', 'Ab', 'D'}, 'Ab']
Gs_dim_6_1.wav Abdim ['Abdim', 0.66, {'B', 'Ab', 'D'}, 'Ab']
Gs_dim_7_0.wav Abdim ['Abdim', 0.6, {'B', 'Ab', 'D'}, 'Ab']
Gs_maj_7_1.wav Abmaj ['Abmaj', 0.52, {'C', 'Ab', 'Eb'}, 'Eb']
Gs_maj_2_0.wav Abmaj ['Abmaj', 0.6, {'C', 'Ab', 'Eb'}, 'C']
Gs_maj_2_1.wav Abmaj ['Abmaj', 0.5, {'C', 'Ab', 'Eb'}, 'C']
Gs_maj_3_0.wav Abmaj ['Eb', 0.73, {'C', 'Bb', 'Eb'}, 'Eb']
Gs_maj_3_1.wav Abmaj ['Ebsus4', 0.82, {'C', 'Bb', 'Ab', 'Eb'}, 'C']
Gs_maj_4_0.wav Abmaj ['Abmaj', 0.62, {'C', 'Ab', 'Eb'}, 'Eb']
Gs_maj_4_1.wav Abmaj ['Abmaj', 0.38, {'C', 'Ab', 'Eb'}, 'Eb']
Gs_maj_5_0.wav Abmaj ['Abmaj', 0.58, {'C', 'Ab', 'Eb'}, 'C']
Gs_maj_5_1.wav Abmaj ['Abmaj', 0.2, {'C', 'Ab', 'Eb'}, 'C']
Gs_maj_6_0.wav Abmaj ['Abmaj', 0.55, {'C', 'Ab', 'Eb'}, 'Ab']
Gs_maj_6_1.wav Abmaj ['Abmaj', 0.63, {'C', 'Ab', 'Eb'}, 'Ab']
Gs_maj_7_0.wav Abmaj ['Abmaj', 0.54, {'C', 'Ab', 'Eb'}, 'Eb']
Gs_min_2_1.wav Abmin ['Abmin', 0.48, {'B', 'Ab', 'Eb'}, 'B']
Gs_min_3_0.wav Abmin ['B', 0.59, {'Bb', 'B', 'Eb'}, 'B']
Gs_min_3_1.wav Abmin ['Ebsus4', 0.58, {'Bb', 'B', 'Ab', 'Eb'}, 'B']
Gs_min_4_0.wav Abmin ['Abmin', 0.63, {'B', 'Ab', 'Eb'}, 'Eb']
Gs_min_4_1.wav Abmin ['Abmin', 0.39, {'B', 'Ab', 'Eb'}, 'Eb']
Gs_min_5_0.wav Abmin ['Abmin', 0.52, {'B', 'Ab', 'Eb'}, 'B']
Gs_min_5_1.wav Abmin ['Abmin', 0.18, {'B', 'Ab', 'Eb'}, 'B']
Gs_min_6_0.wav Abmin ['Abmin', 0.55, {'B', 'Ab', 'Eb'}, 'Ab']
Gs_min_6_1.wav Abmin ['Abmin', 0.63, {'B', 'Ab', 'Eb'}, 'Ab']
Gs_min_7_0.wav Abmin ['Abmin', 0.5, {'B', 'Ab', 'Eb'}, 'Eb']
Gs_min_7_1.wav Abmin ['Abmin', 0.49, {'B', 'Ab', 'Eb'}, 'Eb']
Gs_min_2_0.wav Abmin ['Abmin', 0.55, {'B', 'Ab', 'Eb'}, 'B']
G_dim_7_1.wav Gdim ['Gdim', 0.93, {'Db', 'Bb', 'G'}, '']
G_dim_2_0.wav Gdim ['Db', 0.59, {'Db', 'Bb', 'D'}, 'Db']
G_dim_2_1.wav Gdim ['Gdim', 0.63, {'Db', 'Bb', 'G'}, 'Db']
G_dim_3_0.wav Gdim ['Gdim', 0.84, {'Db', 'Bb', 'G'}, 'G']
G_dim_3_1.wav Gdim ['Bbmin', 0.82, {'Db', 'Bb', 'F'}, 'Db']
G_dim_4_0.wav Gdim ['Db', 0.51, {'Db', 'Bb', 'D'}, 'Db']
G_dim_4_1.wav Gdim ['Gdim', 0.58, {'Db', 'Bb', 'G'}, 'Db']
G_dim_5_0.wav Gdim ['Gdim', 0.69, {'Db', 'Bb', 'G'}, 'Db']
G_dim_5_1.wav Gdim ['Gdim', 0.3, {'Db', 'Bb', 'G'}, 'Db']
G_dim_6_0.wav Gdim ['Gdim', 0.37, {'Db', 'Bb', 'G'}, 'G']
G_dim_6_1.wav Gdim ['Gdim', 0.57, {'Db', 'Bb', 'G'}, 'G']
G_dim_7_0.wav Gdim ['Gdim', 0.6, {'Db', 'Bb', 'G'}, 'G']
G_maj_7_1.wav Gmaj ['Gmaj', 0.85, {'B', 'G', 'D'}, 'D']
G_maj_2_0.wav Gmaj ['Gmaj', 0.55, {'B', 'G', 'D'}, 'B']
G_maj_2_1.wav Gmaj ['Gmaj', 0.51, {'B', 'G', 'D'}, 'B']
G_maj_3_0.wav Gmaj ['Gmaj', 0.71, {'B', 'G', 'D'}, 'B']
G_maj_3_1.wav Gmaj ['B', 0.58, {'B', 'A', 'D'}, 'B']
G_maj_4_0.wav Gmaj ['Gmaj', 0.47, {'B', 'G', 'D'}, 'B']
G_maj_4_1.wav Gmaj ['Gmaj', 0.58, {'B', 'G', 'D'}, 'B']
G_maj_5_0.wav Gmaj ['Gmaj', 0.57, {'B', 'G', 'D'}, 'B']
G_maj_5_1.wav Gmaj ['Gmaj', 0.27, {'B', 'G', 'D'}, 'B']
G_maj_6_0.wav Gmaj ['Gmaj', 0.39, {'B', 'G', 'D'}, 'G']
G_maj_6_1.wav Gmaj ['Gmaj', 0.6, {'B', 'G', 'D'}, 'G']
G_maj_7_0.wav Gmaj ['Gmaj', 0.52, {'B', 'G', 'D'}, 'G']
G_min_7_1.wav Gmin ['Gmin', 0.9, {'Bb', 'G', 'D'}, 'D']
G_min_2_0.wav Gmin ['Gmin', 0.52, {'Bb', 'G', 'D'}, 'Bb']
G_min_2_1.wav Gmin ['Gmin', 0.61, {'Bb', 'G', 'D'}, 'Bb']
G_min_3_0.wav Gmin ['Gmin', 0.81, {'Bb', 'G', 'D'}, 'D']
G_min_3_1.wav Gmin ['Bb', 0.89, {'Bb', 'A', 'D'}, 'Bb']
G_min_4_0.wav Gmin ['Gmin', 0.48, {'Bb', 'G', 'D'}, 'D']
G_min_4_1.wav Gmin ['Gmin', 0.59, {'Bb', 'G', 'D'}, 'D']
G_min_5_0.wav Gmin ['Gmin', 0.81, {'Bb', 'G', 'D'}, 'G']
G_min_5_1.wav Gmin ['Gmin', 0.42, {'Bb', 'G', 'D'}, 'Bb']
G_min_6_0.wav Gmin ['Gmin', 0.39, {'Bb', 'G', 'D'}, 'G']
G_min_6_1.wav Gmin ['Gmin', 0.6, {'Bb', 'G', 'D'}, 'G']
G_min_7_0.wav Gmin ['Gmin', 0.61, {'Bb', 'G', 'D'}, 'G']

Completed
Total chords checked: 432
Correct: 310 (71.76%)
Incorrect: 122 (28.24%)
Incorrect but correct root: 41 (33.61%)
Incorrect but correct strong note: 25 (20.49%)
Incorrect but root a perfect fifth apart: 30 (24.59%)
Incorrect but relative major/minor: 5 (4.10%)

Top 10 most common mistakes:
Cdim → C: 6
Cmin → C: 4
Ebdim → A: 4
Ebmin → Bb: 4
Dbdim → Db: 3
Dmin → Fmaj: 3
Adim → C: 2
Bbmaj → F: 2
Bdim → F: 2
Bmaj → Gbsus4: 2

Per-class accuracy:
Abdim: 66.67% (8/12)
Abmaj: 83.33% (10/12)
Abmin: 83.33% (10/12)
Adim: 66.67% (8/12)
Amaj: 91.67% (11/12)
Amin: 91.67% (11/12)
Bbdim: 83.33% (10/12)
Bbmaj: 83.33% (10/12)
Bbmin: 83.33% (10/12)
Bdim: 75.00% (9/12)
Bmaj: 66.67% (8/12)
Bmin: 83.33% (10/12)
Cdim: 50.00% (6/12)
Cmaj: 58.33% (7/12)
Cmin: 66.67% (8/12)
Dbdim: 41.67% (5/12)
Dbmaj: 75.00% (9/12)
Dbmin: 58.33% (7/12)
Ddim: 50.00% (6/12)
Dmaj: 58.33% (7/12)
Dmin: 66.67% (8/12)
Ebdim: 50.00% (6/12)
Ebmaj: 58.33% (7/12)
Ebmin: 58.33% (7/12)
Edim: 58.33% (7/12)
Emaj: 75.00% (9/12)
Emin: 58.33% (7/12)
Fdim: 75.00% (9/12)
Fmaj: 91.67% (11/12)
Fmin: 83.33% (10/12)
Gbdim: 66.67% (8/12)
Gbmaj: 75.00% (9/12)
Gbmin: 91.67% (11/12)
Gdim: 75.00% (9/12)
Gmaj: 91.67% (11/12)
Gmin: 91.67% (11/12)
