GTR3 dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

Am_AcusticPlug26_1.wav Amin ['Amin', 0.46, {'A', 'C', 'E'}, 'E']
Bb_AcusticPlug10_3.wav Bbmaj ['Bbmaj', 0.51, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug10_4.wav Bbmaj ['Bbmaj', 0.74, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug11_1.wav Bbmaj ['Bbmaj', 0.95, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug11_2.wav Bbmaj ['Bbmaj', 0.62, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug11_3.wav Bbmaj ['Bbmaj', 0.52, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug11_4.wav Bbmaj ['Bbmaj', 0.63, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug12_1.wav Bbmaj ['Ebsus2', 0.71, {'Bb', 'F', 'Eb'}, 'Bb']
Bb_AcusticPlug12_2.wav Bbmaj ['Ebsus2', 0.76, {'Bb', 'F', 'Eb'}, 'Bb']
Bb_AcusticPlug12_3.wav Bbmaj ['Bb', 0.5, {'Bb', 'B', 'G'}, 'Bb']
Bb_AcusticPlug12_4.wav Bbmaj ['Fsus4', 0.85, {'Bb', 'F', 'C'}, 'F']
Bb_AcusticPlug13_1.wav Bbmaj ['Bbmaj', 0.49, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug13_2.wav Bbmaj ['Bbmaj', 0.6, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug13_3.wav Bbmaj ['Bbmaj', 0.49, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug13_4.wav Bbmaj ['Bbmaj', 0.46, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug14_1.wav Bbmaj ['Bbmaj', 0.84, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug14_2.wav Bbmaj ['Bbmaj', 0.73, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug14_3.wav Bbmaj ['Bbmaj', 0.58, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug14_4.wav Bbmaj ['Bbmaj', 0.7, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug15_1.wav Bbmaj ['Bbmaj', 0.71, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug15_2.wav Bbmaj ['Bbmaj', 0.4, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug15_3.wav Bbmaj ['Bbmaj', 0.36, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug15_4.wav Bbmaj ['Bbmaj', 0.52, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug16_1.wav Bbmaj ['Bbmaj', 0.82, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug16_2.wav Bbmaj ['Bbmaj', 0.95, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug16_3.wav Bbmaj ['Bbmaj', 0.49, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug16_4.wav Bbmaj ['Bbmaj', 0.77, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug17_1.wav Bbmaj ['Bbmaj', 0.8, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug17_2.wav Bbmaj ['Bbmaj', 0.8, {'Bb', 'F', 'D'}, '']
Bb_AcusticPlug17_3.wav Bbmaj ['Bbmaj', 0.64, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug17_4.wav Bbmaj ['Bbmaj', 0.84, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug18_1.wav Bbmaj ['Bbmaj', 0.79, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug18_2.wav Bbmaj ['Bbmaj', 0.62, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug18_3.wav Bbmaj ['Bbmaj', 0.42, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug18_4.wav Bbmaj ['Bbmaj', 0.52, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug19_1.wav Bbmaj ['Bbmaj', 0.59, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug19_2.wav Bbmaj ['Bbmaj', 0.69, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug19_3.wav Bbmaj ['Bbmaj', 0.41, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug19_4.wav Bbmaj ['Bbmaj', 0.58, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug1_1.wav Bbmaj ['Bbmaj', 0.79, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug1_2.wav Bbmaj ['Bbmaj', 0.62, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug1_3.wav Bbmaj ['Bbmaj', 0.69, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug1_4.wav Bbmaj ['Bbmaj', 0.77, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug20_1.wav Bbmaj ['Bbmaj', 0.3, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug20_2.wav Bbmaj ['Bbmaj', 0.33, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug20_3.wav Bbmaj ['Bbmaj', 0.39, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug20_4.wav Bbmaj ['Bbmaj', 0.29, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug21_1.wav Bbmaj ['Bbmaj', 0.59, {'Bb', 'F', 'D'}, '']
Bb_AcusticPlug21_2.wav Bbmaj ['Bbmaj', 0.45, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug21_3.wav Bbmaj ['Bbmaj', 0.39, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug21_4.wav Bbmaj ['Bbmaj', 0.41, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug22_1.wav Bbmaj ['Bbmaj', 0.52, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug22_2.wav Bbmaj ['Bbmaj', 0.48, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug22_3.wav Bbmaj ['Bbmaj', 0.43, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug22_4.wav Bbmaj ['Bbmaj', 0.46, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug23_1.wav Bbmaj ['Bbmaj', 0.82, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug23_2.wav Bbmaj ['Bbmaj', 0.75, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug23_3.wav Bbmaj ['Bbmaj', 0.49, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug23_4.wav Bbmaj ['Bbmaj', 0.6, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug24_1.wav Bbmaj ['Bbmaj', 0.54, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug24_2.wav Bbmaj ['Bbmaj', 0.62, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug24_3.wav Bbmaj ['Bbmaj', 0.44, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug24_4.wav Bbmaj ['Bbmaj', 0.53, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug25_1.wav Bbmaj ['Bbmaj', 0.61, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug25_2.wav Bbmaj ['Bbmaj', 0.59, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug25_3.wav Bbmaj ['Bbmaj', 0.46, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug25_4.wav Bbmaj ['Bbmaj', 0.51, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug2_1.wav Bbmaj ['Bbmaj', 0.74, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug2_2.wav Bbmaj ['Bbmaj', 0.65, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug2_3.wav Bbmaj ['Bbmaj', 0.67, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug2_4.wav Bbmaj ['Bb', 0.69, {'Bb', 'C', 'D'}, 'Bb']
Bb_AcusticPlug3_1.wav Bbmaj ['Bbmaj', 0.68, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug3_2.wav Bbmaj ['Bbmaj', 0.6, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug3_3.wav Bbmaj ['Bbmaj', 0.69, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug3_4.wav Bbmaj ['Bbmaj', 0.62, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug4_1.wav Bbmaj ['Bbmaj', 0.84, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug4_2.wav Bbmaj ['Bbmaj', 0.68, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug4_3.wav Bbmaj ['Bbmaj', 0.79, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug4_4.wav Bbmaj ['Bbmaj', 0.92, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug5_1.wav Bbmaj ['Bbmaj', 0.93, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug5_2.wav Bbmaj ['Bbmaj', 0.7, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug5_3.wav Bbmaj ['Bbmaj', 0.87, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug5_4.wav Bbmaj ['Bbmaj', 0.67, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug6_1.wav Bbmaj ['Bbmaj', 0.79, {'Bb', 'F', 'D'}, '']
Bb_AcusticPlug6_2.wav Bbmaj ['Bbmaj', 0.58, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug6_3.wav Bbmaj ['Bbmaj', 0.76, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug6_4.wav Bbmaj ['Bbmaj', 0.92, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug7_1.wav Bbmaj ['Bbmaj', 0.71, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug7_2.wav Bbmaj ['Bbmaj', 0.5, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug7_3.wav Bbmaj ['Bbmaj', 0.58, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug7_4.wav Bbmaj ['Bbmaj', 0.9, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug8_1.wav Bbmaj ['Bbmaj', 0.66, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug8_2.wav Bbmaj ['Bbmaj', 0.45, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug8_3.wav Bbmaj ['Bbmaj', 0.4, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug8_4.wav Bbmaj ['Bbmaj', 0.68, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug9_1.wav Bbmaj ['Bb', 0.64, {'Bb', 'C', 'D'}, 'Bb']
Bb_AcusticPlug9_2.wav Bbmaj ['Bb', 0.82, {'Bb', 'Ab', 'D'}, 'Bb']
Bb_AcusticPlug9_3.wav Bbmaj ['Fsus4', 0.56, {'Bb', 'F', 'C'}, 'F']
Bb_AcusticPlug9_4.wav Bbmaj ['Bb', 0.83, {'Bb', 'C', 'D'}, 'Bb']
Bb_Acustic_Miguel_1.wav Bbmaj ['Bbmaj', 0.32, {'Bb', 'F', 'D'}, 'Bb']
Bb_Acustic_Miguel_2.wav Bbmaj ['Bbmaj', 0.18, {'Bb', 'F', 'D'}, 'Bb']
Bb_Acustic_Miguel_3.wav Bbmaj ['Bbmaj', 0.34, {'Bb', 'F', 'D'}, 'Bb']
Bb_Acustic_Miguel_4.wav Bbmaj ['Bbmaj', 0.24, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic2_Carolina_1.wav Bbmaj ['Bbmaj', 0.54, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic2_Carolina_2.wav Bbmaj ['Bbmaj', 0.68, {'Bb', 'F', 'D'}, 'F']
Bb_Classic2_Carolina_3.wav Bbmaj ['Bbmaj', 0.6, {'Bb', 'F', 'D'}, 'F']
Bb_Classic2_Carolina_4.wav Bbmaj ['Bbmaj', 0.53, {'Bb', 'F', 'D'}, 'D']
Bb_Classic3_Carolina_1.wav Bbmaj ['Bbmaj', 0.65, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic3_Carolina_2.wav Bbmaj ['Bb', 0.39, {'Bb', 'D', 'E'}, 'Bb']
Bb_Classic3_Carolina_3.wav Bbmaj ['Bbmaj', 0.44, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic3_Carolina_4.wav Bbmaj ['Bbmaj', 0.44, {'Bb', 'F', 'D'}, 'Bb']
Bb_ClassicA_Miguel_1.wav Bbmaj ['Bbmaj', 0.64, {'Bb', 'F', 'D'}, 'Bb']
Bb_ClassicA_Miguel_2.wav Bbmaj ['Bbmaj', 0.32, {'Bb', 'F', 'D'}, 'F']
Bb_ClassicA_Miguel_3.wav Bbmaj ['Bbmaj', 0.42, {'Bb', 'F', 'D'}, 'Bb']
Bb_ClassicA_Miguel_4.wav Bbmaj ['Bbmaj', 0.42, {'Bb', 'F', 'D'}, 'Bb']
Bb_ClassicCleanGB_JO_1.wav Bbmaj ['Bb', 0.87, {'Bb', 'F', 'A'}, 'Bb']
Bb_ClassicCleanGB_JO_2.wav Bbmaj ['F', 0.94, {'Bb', 'F', 'A'}, 'F']
Bb_ClassicCleanGB_JO_3.wav Bbmaj ['F', 0.68, {'Bb', 'F', 'A'}, 'F']
Bb_ClassicCleanGB_JO_4.wav Bbmaj ['A', 0.85, {'Bb', 'A', 'D'}, 'A']
Bb_Classic_Jegundo_1.wav Bbmaj ['Bbmaj', 0.7, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic_Jegundo_2.wav Bbmaj ['Bbmaj', 0.48, {'Bb', 'F', 'D'}, 'F']
Bb_Classic_Jegundo_3.wav Bbmaj ['Bbmaj', 0.33, {'Bb', 'F', 'D'}, 'F']
Bb_Classic_Jegundo_4.wav Bbmaj ['Bbmaj', 0.46, {'Bb', 'F', 'D'}, 'F']
Bb_Classic_Miguel_1.wav Bbmaj ['Bbmaj', 0.88, {'Bb', 'F', 'D'}, 'F']
Bb_Classic_Miguel_2.wav Bbmaj ['Bbmaj', 0.4, {'Bb', 'F', 'D'}, 'F']
Bb_Classic_Miguel_3.wav Bbmaj ['Bbmaj', 0.38, {'Bb', 'F', 'D'}, 'F']
Bb_Classic_Miguel_4.wav Bbmaj ['Bbmaj', 0.5, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic_Simona_1.wav Bbmaj ['Bb', 0.59, {'Bb', 'B', 'E'}, 'Bb']
Bb_Classic_Simona_2.wav Bbmaj ['Bb', 0.56, {'Bb', 'B', 'E'}, 'Bb']
Bb_Classic_Simona_3.wav Bbmaj ['Bb', 0.56, {'Bb', 'B', 'E'}, 'Bb']
Bb_Classic_Simona_4.wav Bbmaj ['Bbmaj', 0.17, {'Bb', 'F', 'D'}, 'Bb']
Bb_Electric_Fabi_1.wav Bbmaj ['Daug', 0.92, {'Bb', 'Gb', 'D'}, 'D']
Bb_Electric_Fabi_2.wav Bbmaj ['Daug', 0.78, {'Bb', 'Gb', 'D'}, 'D']
Bb_Electric_Fabi_3.wav Bbmaj ['Bbmaj', 0.68, {'Bb', 'F', 'D'}, 'Bb']
Bb_Electric_Fabi_4.wav Bbmaj ['Bb', 0.68, {'Bb', 'Gb', 'C'}, 'Bb']
Bb_RetroGB_JO_1.wav Bbmaj ['Dmin', 0.22, {'F', 'A', 'D'}, 'D']
Bb_RetroGB_JO_2.wav Bbmaj ['Fmin', 0.66, {'F', 'Ab', 'C'}, 'Ab']
Bb_RetroGB_JO_3.wav Bbmaj ['Ddim', 0.41, {'F', 'Ab', 'D'}, 'D']
Bb_RetroGB_JO_4.wav Bbmaj ['F', 0.32, {'Bb', 'F', 'Ab'}, 'F']
Bb_RockGB_JO_1.wav Bbmaj ['Bbmaj', 0.57, {'Bb', 'F', 'D'}, 'D']
Bb_RockGB_JO_2.wav Bbmaj ['Bbmaj', 0.7, {'Bb', 'F', 'D'}, 'F']
Bb_RockGB_JO_3.wav Bbmaj ['Bbmaj', 0.72, {'Bb', 'F', 'D'}, 'D']
Bb_RockGB_JO_4.wav Bbmaj ['Bbmaj', 0.46, {'Bb', 'F', 'D'}, 'D']
Bb_RootsGB_JO_1.wav Bbmaj ['Bbmaj', 0.23, {'Bb', 'F', 'D'}, 'Bb']
Bb_RootsGB_JO_2.wav Bbmaj ['Bbmaj', 0.21, {'Bb', 'F', 'D'}, 'Bb']
Bb_RootsGB_JO_3.wav Bbmaj ['Bbmaj', 0.27, {'Bb', 'F', 'D'}, 'Bb']
Bb_RootsGB_JO_4.wav Bbmaj ['Bbmaj', 0.21, {'Bb', 'F', 'D'}, 'Bb']
Bb_acousticguitar_Mari_1.wav Bbmaj ['Bbmaj', 0.3, {'Bb', 'F', 'D'}, 'Bb']
Bb_acousticguitar_Mari_2.wav Bbmaj ['Bb', 0.3, {'Bb', 'F', 'A'}, 'Bb']
Bb_acousticguitar_Mari_3.wav Bbmaj ['Bb', 0.18, {'Bb', 'F', 'A'}, 'Bb']
Bb_acousticguitar_Mari_4.wav Bbmaj ['Bbmaj', 0.14, {'Bb', 'F', 'D'}, 'Bb']
Bb_acousticguitar_SalomCAndrade_1.wav Bbmaj ['Fsus4', 0.11, {'Bb', 'F', 'C', 'D'}, 'Bb']
Bb_acousticguitar_SalomCAndrade_2.wav Bbmaj ['Bb', 0.1, {'Bb', 'E', 'D'}, 'Bb']
Bb_acousticguitar_SalomCAndrade_3.wav Bbmaj ['Bbmaj', 0.13, {'Bb', 'F', 'D'}, 'Bb']
Bb_acousticguitar_SalomCAndrade_4.wav Bbmaj ['Bbmaj', 0.19, {'Bb', 'F', 'D'}, 'Bb']
Bb_acusticGB_JO_1.wav Bbmaj ['Bbmaj', 0.4, {'Bb', 'F', 'D'}, 'Bb']
Bb_acusticGB_JO_2.wav Bbmaj ['Bbmaj', 0.39, {'Bb', 'F', 'D'}, 'Bb']
Bb_acusticGB_JO_3.wav Bbmaj ['Bbmaj', 0.6, {'Bb', 'F', 'D'}, 'Bb']
Bb_acusticGB_JO_4.wav Bbmaj ['Bbmaj', 0.4, {'Bb', 'F', 'D'}, 'Bb']
Bb_classical_AfonsoLemos_-01.wav Bbmaj ['Bbmaj', 0.54, {'Bb', 'F', 'D'}, 'Bb']
Bb_classical_AfonsoLemos_-02.wav Bbmaj ['Bbmaj', 0.45, {'Bb', 'F', 'D'}, 'Bb']
Bb_classical_AfonsoLemos_-03.wav Bbmaj ['Bbmaj', 0.27, {'Bb', 'F', 'D'}, 'Bb']
Bb_classical_AfonsoLemos_-04.wav Bbmaj ['Bbmaj', 0.28, {'Bb', 'F', 'D'}, 'Bb']
Bb_classical_henrique_1.wav Bbmaj ['Bbmaj', 0.4, {'Bb', 'F', 'D'}, 'Bb']
Bb_classical_henrique_2.wav Bbmaj ['Bb', 0.13, {'Bb', 'B', 'A', 'F'}, 'Bb']
Bb_classical_henrique_3.wav Bbmaj ['Bbmaj', 0.26, {'Bb', 'F', 'D'}, 'Bb']
Bb_classical_henrique_4.wav Bbmaj ['Bbmaj', 0.2, {'Bb', 'F', 'D'}, 'Bb']
Bb_electric_Isabel_1.wav Bbmaj ['Bbmaj', 0.49, {'Bb', 'F', 'D'}, 'Bb']
Bb_electric_Isabel_2.wav Bbmaj ['Bbmaj', 0.53, {'Bb', 'F', 'D'}, 'Bb']
Bb_electric_Isabel_3.wav Bbmaj ['Bbmaj', 0.55, {'Bb', 'F', 'D'}, 'Bb']
Bb_electric_Isabel_4.wav Bbmaj ['Bbmaj', 0.32, {'Bb', 'F', 'D'}, 'Bb']
Bb_eletricguitar_Mari_1.wav Bbmaj ['Bbmaj', 0.79, {'Bb', 'F', 'D'}, 'D']
Bb_eletricguitar_Mari_2.wav Bbmaj ['Fsus4', 0.77, {'Bb', 'F', 'C'}, 'F']
Bb_eletricguitar_Mari_3.wav Bbmaj ['Dmin', 0.42, {'F', 'A', 'D'}, 'D']
Bb_eletricguitar_Mari_4.wav Bbmaj ['D', 0.51, {'F', 'C', 'D'}, 'D']
Bdim_AcusticPlug26_1.wav Bdim ['Abdim', 0.53, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug26_2.wav Bdim ['Abdim', 0.41, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug26_3.wav Bdim ['Fdim', 0.41, {'B', 'Ab', 'F'}, 'Ab']
Bdim_AcusticPlug26_4.wav Bdim ['Ddim', 0.39, {'F', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug27_1.wav Bdim ['Fdim', 0.21, {'B', 'Ab', 'F'}, 'B']
Bdim_AcusticPlug27_2.wav Bdim ['Ddim', 0.16, {'B', 'Ab', 'D', 'F'}, 'B']
Bdim_AcusticPlug27_3.wav Bdim ['Fdim', 0.27, {'B', 'Ab', 'F'}, 'B']
Bdim_AcusticPlug27_4.wav Bdim ['Ddim', 0.47, {'F', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug28_1.wav Bdim ['Abdim', 0.19, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug28_2.wav Bdim ['Ddim', 0.13, {'B', 'Ab', 'D', 'F'}, 'B']
Bdim_AcusticPlug28_3.wav Bdim ['Fdim', 0.3, {'B', 'Ab', 'F'}, 'B']
Bdim_AcusticPlug28_4.wav Bdim ['Ddim', 0.81, {'F', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug29_1.wav Bdim ['Abdim', 0.36, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug29_2.wav Bdim ['Abdim', 0.24, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug29_3.wav Bdim ['Fdim', 0.38, {'B', 'Ab', 'F'}, 'B']
Bdim_AcusticPlug29_4.wav Bdim ['Ddim', 0.57, {'F', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug30_1.wav Bdim ['Abdim', 0.6, {'B', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug30_2.wav Bdim ['Abdim', 0.47, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug30_3.wav Bdim ['Abdim', 0.3, {'B', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug30_4.wav Bdim ['Ddim', 0.33, {'F', 'Ab', 'D'}, 'Ab']
Bdim_AcusticVince_JO_1.wav Bdim ['B', 0.68, {'B', 'E', 'D'}, 'B']
Bdim_AcusticVince_JO_2.wav Bdim ['B', 0.57, {'B', 'E', 'D'}, 'B']
Bdim_AcusticVince_JO_3.wav Bdim ['Bdim', 0.36, {'F', 'B', 'D'}, 'B']
Bdim_AcusticVince_JO_4.wav Bdim ['B', 0.18, {'B', 'E', 'D'}, 'B']
Bdim_ClassicVince_JO_1.wav Bdim ['F', 0.56, {'B', 'Gb', 'F'}, 'F']
Bdim_ClassicVince_JO_2.wav Bdim ['Bdim', 0.42, {'F', 'B', 'D'}, 'B']
Bdim_ClassicVince_JO_3.wav Bdim ['Bdim', 0.5, {'B', 'D', 'F'}, 'B']
Bdim_ClassicVince_JO_4.wav Bdim ['B', 0.29, {'B', 'E', 'D'}, 'B']
Bdim_Classic_Jo_1.wav Bdim ['Bdim', 0.54, {'B', 'D', 'F'}, 'B']
Bdim_Classic_Jo_2.wav Bdim ['B', 0.72, {'B', 'Gb', 'F'}, 'B']
Bdim_Classic_Jo_3.wav Bdim ['Bdim', 0.42, {'B', 'D', 'F'}, 'B']
Bdim_Classic_Jo_4.wav Bdim ['Bdim', 0.25, {'B', 'D', 'F'}, 'B']
Bdim_Electric1_LInda_1.wav Bdim ['B', 0.53, {'B', 'A', 'Eb'}, 'B']
Bdim_Electric1_LInda_2.wav Bdim ['Gb', 0.89, {'B', 'Gb', 'A'}, 'Gb']
Bdim_Electric1_LInda_3.wav Bdim ['A', 0.6, {'B', 'Gb', 'A'}, 'A']
Bdim_Electric1_LInda_4.wav Bdim ['B', 0.46, {'Bb', 'B', 'Gb'}, 'B']
Bdim_Electric2_LInda_1.wav Bdim ['A', 0.58, {'E', 'Gb', 'A'}, 'A']
Bdim_Electric2_LInda_2.wav Bdim ['Gb', 0.39, {'B', 'Gb', 'A'}, 'Gb']
Bdim_Electric2_LInda_3.wav Bdim ['Gbdim', 0.45, {'Gb', 'C', 'A'}, 'A']
Bdim_Electric2_LInda_4.wav Bdim ['E', 0.73, {'Bb', 'Gb', 'E'}, 'E']
Bdim_AcousticGuitar_RodrigoMercador_1.wav Bdim ['Bdim', 0.49, {'B', 'F', 'D'}, 'D']
Bdim_AcousticGuitar_RodrigoMercador_2.wav Bdim ['Bdim', 0.6, {'B', 'F', 'D'}, 'B']
Bdim_AcousticGuitar_RodrigoMercador_3.wav Bdim ['Bdim', 0.64, {'B', 'F', 'D'}, 'B']
Bdim_AcousticGuitar_RodrigoMercador_4.wav Bdim ['Bdim', 0.92, {'B', 'F', 'D'}, 'B']
Bdim_AcusticPlug10_1.wav Bdim ['B', 0.22, {'Bb', 'B', 'Ab'}, 'B']
Bdim_AcusticPlug10_2.wav Bdim ['B', 0.18, {'Bb', 'B', 'Ab'}, 'B']
Bdim_AcusticPlug10_3.wav Bdim ['B', 0.27, {'Bb', 'B', 'F'}, 'B']
Bdim_AcusticPlug10_4.wav Bdim ['Bb', 0.69, {'Bb', 'Ab', 'D'}, 'Bb']
Bdim_AcusticPlug11_1.wav Bdim ['B', 0.25, {'Bb', 'B', 'Ab'}, 'B']
Bdim_AcusticPlug11_2.wav Bdim ['B', 0.25, {'Bb', 'B', 'Ab'}, 'B']
Bdim_AcusticPlug11_3.wav Bdim ['B', 0.5, {'Bb', 'B', 'Ab'}, 'B']
Bdim_AcusticPlug11_4.wav Bdim ['Ab', 0.51, {'Bb', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug12_1.wav Bdim ['Ab', 0.78, {'Bb', 'B', 'Ab'}, 'Ab']
Bdim_AcusticPlug12_2.wav Bdim ['B', 0.58, {'Bb', 'B', 'Ab'}, 'B']
Bdim_AcusticPlug12_3.wav Bdim ['Ab', 0.54, {'Bb', 'B', 'Ab'}, 'Ab']
Bdim_AcusticPlug12_4.wav Bdim ['Ab', 0.37, {'Db', 'Bb', 'Ab'}, 'Ab']
Bdim_AcusticPlug13_1.wav Bdim ['Fdim', 0.25, {'B', 'Ab', 'F'}, 'B']
Bdim_AcusticPlug13_2.wav Bdim ['Fdim', 0.27, {'B', 'Ab', 'F'}, 'B']
Bdim_AcusticPlug13_3.wav Bdim ['Abdim', 0.38, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug13_4.wav Bdim ['Ab', 0.39, {'Bb', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug14_1.wav Bdim ['Abdim', 0.19, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug14_2.wav Bdim ['Abdim', 0.16, {'B', 'Ab', 'D'}, 'B']
Bdim_AcusticPlug14_3.wav Bdim ['Fdim', 0.26, {'B', 'Ab', 'F'}, 'B']
Bdim_AcusticPlug14_4.wav Bdim ['Ddim', 0.58, {'F', 'Ab', 'D'}, 'Ab']
Bdim_AcusticPlug15_1.wav Bdim ['Abdim', 0.12, {'B', 'Ab', 'D'}, 'B']
