aPTD dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

piano_4_Gn_n_m_04.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'D']
piano_5_Bn_j_m_07.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_14.wav Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_00.wav Bmaj ['Bmaj', 0.52, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_28.wav Bmaj ['Bmaj', 0.56, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_03.wav Bmaj ['Bmaj', 0.28, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_17.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_25.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_31.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_19.wav Bmaj ['Bmaj', 0.28, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_38.wav Bmaj ['Bmaj', 0.84, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_10.wav Bmaj ['Bmaj', 0.69, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_04.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_26.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_32.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_28.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_00.wav Bmaj ['Bmaj', 0.55, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_14.wav Bmaj ['Bmaj', 0.42, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_35.wav Bmaj ['Bmaj', 0.57, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_21.wav Bmaj ['Bmaj', 0.61, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_09.wav Bmaj ['Bmaj', 0.66, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_22.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_36.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_f_04.wav Bmaj ['Bmaj', 0.36, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_10.wav Bmaj ['Bmaj', 0.38, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_38.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_39.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_11.wav Bmaj ['Bmaj', 0.45, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_05.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_37.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_08.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_23.wav Bmaj ['Bmaj', 0.23, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_20.wav Bmaj ['Bmaj', 0.6, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_34.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_15.wav Bmaj ['Bmaj', 0.49, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_01.wav Bmaj ['Bmaj', 0.49, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_29.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_33.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_27.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_05.wav Bmaj ['Bmaj', 0.87, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_11.wav Bmaj ['Bmaj', 0.91, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_39.wav Bmaj ['Bmaj', 0.77, {'B', 'Eb', 'Gb'}, 'Gb']
piano_4_Bn_j_m_18.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_30.wav Bmaj ['Bmaj', 0.4, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_24.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_16.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_29.wav Bmaj ['Bmaj', 0.47, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_02.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_01.wav Bmaj ['Bmaj', 0.51, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_15.wav Bmaj ['Bmaj', 0.52, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_03.wav Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_28.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_17.wav Bmaj ['Bmaj', 0.52, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_14.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_00.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_32.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_26.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_07.wav Bmaj ['Bmaj', 0.8, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_13.wav Bmaj ['Bmaj', 0.66, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_31.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_25.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_19.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_17.wav Bmaj ['Bmaj', 0.51, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_03.wav Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_22.wav Bmaj ['Bmaj', 0.57, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_09.wav Bmaj ['Bmaj', 0.36, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_36.wav Bmaj ['Bmaj', 0.59, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_35.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_21.wav Bmaj ['Bmaj', 0.26, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_f_13.wav Bmaj ['Bmaj', 0.43, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_07.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_06.wav Bmaj ['Bmaj', 0.36, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_12.wav Bmaj ['Bmaj', 0.46, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_20.wav Bmaj ['Bmaj', 0.25, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_34.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_37.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_23.wav Bmaj ['Bmaj', 0.6, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_08.wav Bmaj ['Bmaj', 0.23, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_02.wav Bmaj ['Bmaj', 0.56, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_16.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_18.wav Bmaj ['Bmaj', 0.31, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_24.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_30.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_12.wav Bmaj ['Bmaj', 0.67, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_06.wav Bmaj ['Bmaj', 0.74, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_27.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_33.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_01.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_15.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_16.wav Bmaj ['Bmaj', 0.48, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_02.wav Bmaj ['Bmaj', 0.51, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_29.wav Bmaj ['Bmaj', 0.26, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_59.wav Bmaj ['Bmaj', 0.47, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_72.wav Bmaj ['Bmaj', 0.28, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_66.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_65.wav Bmaj ['Bmaj', 0.52, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_97.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_83.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_71.wav Bmaj ['Bmaj', 0.51, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_68.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_54.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_99.wav Bmaj ['Bmaj', 0.26, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_40.wav Bmaj ['Bmaj', 0.4, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_61.wav Bmaj ['Bmaj', 0.9, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_75.wav Bmaj ['Bmaj', 0.87, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_49.wav Bmaj ['Bmaj', 0.77, {'B', 'Eb', 'Gb'}, 'Gb']
piano_5_Bn_j_p_57.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_43.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_71.wav Bmaj ['Bmaj', 0.49, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_65.wav Bmaj ['Bmaj', 0.49, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_94.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_80.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_59.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_78.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_53.wav Bmaj ['Bmaj', 0.23, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_47.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_44.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_50.wav Bmaj ['Bmaj', 0.6, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_49.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_90.wav Bmaj ['Bmaj', 0.25, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_84.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_87.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_75.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_61.wav Bmaj ['Bmaj', 0.45, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_93.wav Bmaj ['Bmaj', 0.6, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_60.wav Bmaj ['Bmaj', 0.38, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_92.wav Bmaj ['Bmaj', 0.57, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_86.wav Bmaj ['Bmaj', 0.59, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_74.wav Bmaj ['Bmaj', 0.36, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_85.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_91.wav Bmaj ['Bmaj', 0.26, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_f_48.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_51.wav Bmaj ['Bmaj', 0.61, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_45.wav Bmaj ['Bmaj', 0.57, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_46.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_79.wav Bmaj ['Bmaj', 0.66, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_52.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_58.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_81.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_95.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_64.wav Bmaj ['Bmaj', 0.42, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_70.wav Bmaj ['Bmaj', 0.55, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_42.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_56.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_48.wav Bmaj ['Bmaj', 0.84, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_74.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_60.wav Bmaj ['Bmaj', 0.69, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_41.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_98.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_55.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_69.wav Bmaj ['Bmaj', 0.28, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_82.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_70.wav Bmaj ['Bmaj', 0.52, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_64.wav Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_96.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_67.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_58.wav Bmaj ['Bmaj', 0.56, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_73.wav Bmaj ['Bmaj', 0.28, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_65.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_71.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_f_72.wav Bmaj ['Bmaj', 0.51, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_80.wav Bmaj ['Bmaj', 0.4, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_59.wav Bmaj ['Bmaj', 0.26, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_94.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_66.wav Bmaj ['Bmaj', 0.48, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_99.wav Bmaj ['Bmaj', 0.47, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_43.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_57.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_76.wav Bmaj ['Bmaj', 0.73, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_62.wav Bmaj ['Bmaj', 0.67, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_89.wav Bmaj ['Bmaj', 0.77, {'B', 'Eb', 'Gb'}, 'Gb']
piano_5_Bn_j_p_68.wav Bmaj ['Bmaj', 0.31, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_99.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_40.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_54.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_66.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_72.wav Bmaj ['Bmaj', 0.56, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_83.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_97.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_44.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_50.wav Bmaj ['Bmaj', 0.25, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_f_89.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_53.wav Bmaj ['Bmaj', 0.6, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_78.wav Bmaj ['Bmaj', 0.23, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_47.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_87.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_93.wav Bmaj ['Bmaj', 0.23, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_90.wav Bmaj ['Bmaj', 0.6, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_62.wav Bmaj ['Bmaj', 0.46, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_76.wav Bmaj ['Bmaj', 0.36, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_84.wav Bmaj ['Bmaj', 0.58, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_77.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_85.wav Bmaj ['Bmaj', 0.57, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_91.wav Bmaj ['Bmaj', 0.61, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_f_63.wav Bmaj ['Bmaj', 0.43, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_92.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_86.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_m_46.wav Bmaj ['Bmaj', 0.59, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_m_52.wav Bmaj ['Bmaj', 0.57, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_79.wav Bmaj ['Bmaj', 0.36, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_f_88.wav Bmaj ['Bmaj', 0.41, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_f_51.wav Bmaj ['Bmaj', 0.26, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_f_45.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_96.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_82.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_73.wav Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_p_67.wav Bmaj ['Bmaj', 0.51, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_55.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_p_41.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_p_98.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_p_69.wav Bmaj ['Bmaj', 0.33, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_88.wav Bmaj ['Bmaj', 0.84, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_63.wav Bmaj ['Bmaj', 0.66, {'B', 'Eb', 'Gb'}, 'B']
piano_3_Bn_j_p_77.wav Bmaj ['Bmaj', 0.8, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_56.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_42.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_98.wav Bmaj ['Bmaj', 0.56, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_95.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_67.wav Bmaj ['Bmaj', 0.52, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_73.wav Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_58.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_81.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_70.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_64.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_85.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_77.wav Bmaj ['Bmaj', 0.52, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_63.wav Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_48.wav Bmaj ['Bmaj', 0.3, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_91.wav Bmaj ['Bmaj', 0.37, {'B', 'Eb', 'Gb'}, 'Eb']
piano_5_Bn_j_m_60.wav Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
piano_5_Bn_j_m_74.wav Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'B']
piano_4_Bn_j_m_46.wav Bmaj ['Bmaj', 0.34, {'B', 'Eb', 'Gb'}, 'Eb']
piano_4_Bn_j_m_52.wav Bmaj ['Bmaj', 0.32, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_f_88.wav Bmaj ['Bmaj', 0.56, {'B', 'Eb', 'Gb'}, 'Eb']
piano_3_Bn_j_p_73.wav Bmaj ['Bmaj', 0.66, {'B', 'Eb', 'Gb'}, 'B']
