aPTD DimAug dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

piano_3_Af_d_f_46.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'B']
piano_5_Bn_d_f_02.wav Bdim ['Bdim', 0.37, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_m_29.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_01.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_15.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_p_34.wav Bdim ['Bdim', 0.44, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_20.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_08.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_12.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_06.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_10.wav Bdim ['Bdim', 0.45, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_04.wav Bdim ['Bdim', 0.49, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_38.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_36.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_22.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_28.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_03.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_17.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_14.wav Bdim ['Bdim', 0.41, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_00.wav Bdim ['Bdim', 0.35, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_f_32.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_26.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_09.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_22.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_36.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_35.wav Bdim ['Bdim', 0.52, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_21.wav Bdim ['Bdim', 0.59, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_13.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_m_07.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_p_26.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_32.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_33.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_27.wav Bdim ['Bdim', 0.36, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_m_06.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_m_12.wav Bdim ['Bdim', 0.35, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_20.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_34.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_37.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_08.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_23.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_27.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_33.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_01.wav Bdim ['Bdim', 0.4, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_15.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_m_16.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_29.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, '']
piano_3_Bn_d_m_02.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_p_23.wav Bdim ['Bdim', 0.65, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_37.wav Bdim ['Bdim', 0.41, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_39.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_05.wav Bdim ['Bdim', 0.49, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_11.wav Bdim ['Bdim', 0.54, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_93.wav Bdim ['Bdim', 0.66, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_87.wav Bdim ['Bdim', 0.41, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_76.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_62.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_89.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_50.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_44.wav Bdim ['Bdim', 0.44, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_78.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_72.wav Bdim ['Bdim', 0.37, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_m_59.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_66.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_f_97.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_65.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_71.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_83.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_68.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_54.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_40.wav Bdim ['Bdim', 0.24, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_99.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, '']
piano_5_Bn_d_m_53.wav Bdim ['Bdim', 0.56, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_78.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_47.wav Bdim ['Bdim', 0.44, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_44.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_50.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_90.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_m_49.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_84.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_m_75.wav Bdim ['Bdim', 0.37, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_f_87.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_93.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_61.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_p_40.wav Bdim ['Bdim', 0.43, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_54.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_68.wav Bdim ['Bdim', 0.37, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_83.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_97.wav Bdim ['Bdim', 0.36, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_p_96.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_82.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_69.wav Bdim ['Bdim', 0.4, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_55.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_41.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_92.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_60.wav Bdim ['Bdim', 0.35, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_m_74.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_f_86.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_85.wav Bdim ['Bdim', 0.52, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_m_48.wav Bdim ['Bdim', 0.39, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_91.wav Bdim ['Bdim', 0.59, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_51.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_45.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_46.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_52.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_79.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_98.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_41.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_55.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_69.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_70.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_82.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_96.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_64.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_67.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_73.wav Bdim ['Bdim', 0.37, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_m_58.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_p_79.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_45.wav Bdim ['Bdim', 0.38, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_51.wav Bdim ['Bdim', 0.42, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_88.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_63.wav Bdim ['Bdim', 0.54, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_77.wav Bdim ['Bdim', 0.45, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_86.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_92.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_84.wav Bdim ['Bdim', 0.44, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_90.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_49.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_61.wav Bdim ['Bdim', 0.54, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_75.wav Bdim ['Bdim', 0.49, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_47.wav Bdim ['Bdim', 0.41, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_53.wav Bdim ['Bdim', 0.66, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_65.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_71.wav Bdim ['Bdim', 0.4, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_59.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, '']
piano_4_Bn_d_f_80.wav Bdim ['Bdim', 0.24, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_72.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_66.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_94.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_99.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_43.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_57.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_44.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_m_89.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_50.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_78.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_53.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_47.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_87.wav Bdim ['Bdim', 0.44, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_93.wav Bdim ['Bdim', 0.56, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_62.wav Bdim ['Bdim', 0.35, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_f_90.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_84.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_76.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_p_57.wav Bdim ['Bdim', 0.36, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_p_43.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_94.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_80.wav Bdim ['Bdim', 0.43, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_81.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_95.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_42.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_56.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_85.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_77.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_m_63.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_f_91.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_92.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_86.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_46.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_79.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_52.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_51.wav Bdim ['Bdim', 0.59, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_88.wav Bdim ['Bdim', 0.39, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_45.wav Bdim ['Bdim', 0.52, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_f_56.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_42.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_98.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_67.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_95.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_81.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_58.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_73.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_70.wav Bdim ['Bdim', 0.35, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_64.wav Bdim ['Bdim', 0.41, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_52.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_46.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_74.wav Bdim ['Bdim', 0.49, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_60.wav Bdim ['Bdim', 0.45, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_48.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_91.wav Bdim ['Bdim', 0.42, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_85.wav Bdim ['Bdim', 0.38, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_64.wav Bdim ['Bdim', 0.49, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_70.wav Bdim ['Bdim', 0.45, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_58.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_81.wav Bdim ['Bdim', 0.42, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_95.wav Bdim ['Bdim', 0.38, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_42.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_56.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_77.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_85.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_91.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_48.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_63.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_f_60.wav Bdim ['Bdim', 0.35, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_74.wav Bdim ['Bdim', 0.41, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_f_46.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_52.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_88.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_56.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_69.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_42.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_41.wav Bdim ['Bdim', 0.59, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_98.wav Bdim ['Bdim', 0.39, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_55.wav Bdim ['Bdim', 0.52, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_95.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_67.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_m_73.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_f_81.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_82.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_96.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_p_52.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_46.wav Bdim ['Bdim', 0.25, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_91.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_85.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_84.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_90.wav Bdim ['Bdim', 0.43, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_p_47.wav Bdim ['Bdim', 0.36, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_p_53.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_5_Bn_d_m_97.wav Bdim ['Bdim', 0.44, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_83.wav Bdim ['Bdim', 0.56, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_72.wav Bdim ['Bdim', 0.35, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_f_80.wav Bdim ['Bdim', 0.28, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_94.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_m_66.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_54.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_m_99.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_m_40.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_m_68.wav Bdim ['Bdim', 0.5, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_f_43.wav Bdim ['Bdim', 0.3, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_f_57.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_89.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_53.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_47.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_f_75.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_61.wav Bdim ['Bdim', 0.4, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_f_49.wav Bdim ['Bdim', 0.34, {'D', 'F', 'B'}, '']
piano_4_Bn_d_f_90.wav Bdim ['Bdim', 0.24, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_62.wav Bdim ['Bdim', 0.29, {'D', 'F', 'B'}, 'D']
piano_3_Bn_d_m_76.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_84.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_57.wav Bdim ['Bdim', 0.41, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_43.wav Bdim ['Bdim', 0.65, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_94.wav Bdim ['Bdim', 0.44, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_80.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_59.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_71.wav Bdim ['Bdim', 0.54, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_65.wav Bdim ['Bdim', 0.49, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_73.wav Bdim ['Bdim', 0.54, {'D', 'F', 'B'}, 'B']
piano_5_Bn_d_p_67.wav Bdim ['Bdim', 0.45, {'D', 'F', 'B'}, 'B']
piano_4_Bn_d_p_96.wav Bdim ['Bdim', 0.53, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_82.wav Bdim ['Bdim', 0.46, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_69.wav Bdim ['Bdim', 0.26, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_55.wav Bdim ['Bdim', 0.38, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_p_41.wav Bdim ['Bdim', 0.42, {'D', 'F', 'B'}, 'F']
piano_5_Bn_d_p_98.wav Bdim ['Bdim', 0.48, {'D', 'F', 'B'}, 'B']
piano_3_Bn_d_m_60.wav Bdim ['Bdim', 0.32, {'D', 'F', 'B'}, 'D']
piano_4_Bn_d_f_92.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_4_Bn_d_f_86.wav Bdim ['Bdim', 0.27, {'D', 'F', 'B'}, 'F']
piano_3_Bn_d_m_74.wav Bdim ['Bdim', 0.31, {'D', 'F', 'B'}, 'D']
