Amin ['Amin', 0.46, {'A', 'E', 'C'}, 'E']
Bbmaj ['Bbmaj', 0.64, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.32, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.42, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.42, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bb', 0.87, {'Bb', 'A', 'F'}, 'Bb']
Bbmaj ['F', 0.94, {'Bb', 'A', 'F'}, 'F']
Bbmaj ['F', 0.68, {'Bb', 'A', 'F'}, 'F']
Bbmaj ['A', 0.85, {'Bb', 'A', 'D'}, 'A']
Bbmaj ['Bbmaj', 0.7, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.48, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.33, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.46, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.88, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.4, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.38, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.5, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bb', 0.59, {'Bb', 'B', 'E'}, 'Bb']
Bbmaj ['Bb', 0.56, {'Bb', 'B', 'E'}, 'Bb']
Bbmaj ['Bb', 0.56, {'Bb', 'B', 'E'}, 'Bb']
Bbmaj ['Bbmaj', 0.17, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Daug', 0.92, {'Bb', 'Gb', 'D'}, 'D']
Bbmaj ['Daug', 0.78, {'Bb', 'Gb', 'D'}, 'D']
Bbmaj ['Bbmaj', 0.68, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bb', 0.68, {'Bb', 'Gb', 'C'}, 'Bb']
Bbmaj ['Dmin', 0.22, {'A', 'D', 'F'}, 'D']
Bbmaj ['Fmin', 0.66, {'Ab', 'F', 'C'}, 'Ab']
Bbmaj ['Ddim', 0.41, {'Ab', 'D', 'F'}, 'D']
Bbmaj ['F', 0.32, {'Bb', 'Ab', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.57, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.7, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.72, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.46, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.23, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.21, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.27, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.21, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.3, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bb', 0.3, {'Bb', 'A', 'F'}, 'Bb']
Bbmaj ['Bb', 0.18, {'Bb', 'A', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.14, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Fsus4', 0.11, {'Bb', 'D', 'F', 'C'}, 'Bb']
Bbmaj ['Bb', 0.1, {'Bb', 'D', 'E'}, 'Bb']
Bbmaj ['Bbmaj', 0.13, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.19, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.4, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.39, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.6, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.4, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.54, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.45, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.27, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.28, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.4, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bb', 0.13, {'Bb', 'F', 'A', 'B'}, 'Bb']
Bbmaj ['Bbmaj', 0.26, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.2, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.49, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.53, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.55, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.32, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.79, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Fsus4', 0.77, {'Bb', 'F', 'C'}, 'F']
Bbmaj ['Dmin', 0.42, {'A', 'D', 'F'}, 'D']
Bbmaj ['D', 0.51, {'D', 'F', 'C'}, 'D']
Bdim ['Abdim', 0.53, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.41, {'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.41, {'F', 'Ab', 'B'}, 'Ab']
Bdim ['Ddim', 0.39, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Fdim', 0.21, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.16, {'F', 'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.27, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.47, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.19, {'Ab', 'D', 'B'}, 'B']
Bdim ['Ddim', 0.13, {'F', 'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.3, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.81, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.36, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.24, {'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.38, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.57, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.6, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Abdim', 0.47, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.3, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Ddim', 0.33, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['B', 0.68, {'D', 'B', 'E'}, 'B']
Bdim ['B', 0.57, {'D', 'B', 'E'}, 'B']
Bdim ['Bdim', 0.36, {'B', 'D', 'F'}, 'B']
Bdim ['B', 0.18, {'D', 'B', 'E'}, 'B']
Bdim ['F', 0.56, {'Gb', 'F', 'B'}, 'F']
Bdim ['Bdim', 0.42, {'B', 'D', 'F'}, 'B']
Bdim ['Bdim', 0.5, {'F', 'D', 'B'}, 'B']
Bdim ['B', 0.29, {'D', 'B', 'E'}, 'B']
Bdim ['Bdim', 0.54, {'F', 'D', 'B'}, 'B']
Bdim ['B', 0.72, {'Gb', 'F', 'B'}, 'B']
Bdim ['Bdim', 0.42, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.25, {'F', 'D', 'B'}, 'B']
Bdim ['B', 0.53, {'A', 'Eb', 'B'}, 'B']
Bdim ['Gb', 0.89, {'Gb', 'A', 'B'}, 'Gb']
Bdim ['A', 0.6, {'Gb', 'A', 'B'}, 'A']
Bdim ['B', 0.46, {'Gb', 'B', 'Bb'}, 'B']
Bdim ['A', 0.58, {'Gb', 'A', 'E'}, 'A']
Bdim ['Gb', 0.39, {'Gb', 'A', 'B'}, 'Gb']
Bdim ['Gbdim', 0.45, {'Gb', 'A', 'C'}, 'A']
Bdim ['E', 0.73, {'Bb', 'Gb', 'E'}, 'E']
Bdim ['Bdim', 0.49, {'F', 'D', 'B'}, 'D']
Bdim ['Bdim', 0.6, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.64, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.92, {'F', 'D', 'B'}, 'B']
Bdim ['B', 0.22, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['B', 0.18, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['B', 0.27, {'Bb', 'F', 'B'}, 'B']
Bdim ['Bb', 0.69, {'Bb', 'D', 'Ab'}, 'Bb']
Bdim ['B', 0.25, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['B', 0.25, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['B', 0.5, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['Ab', 0.51, {'Bb', 'D', 'Ab'}, 'Ab']
Bdim ['Ab', 0.78, {'Bb', 'Ab', 'B'}, 'Ab']
Bdim ['B', 0.58, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['Ab', 0.54, {'Bb', 'Ab', 'B'}, 'Ab']
Bdim ['Ab', 0.37, {'Bb', 'Db', 'Ab'}, 'Ab']
Bdim ['Fdim', 0.25, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.27, {'F', 'Ab', 'B'}, 'B']
Bdim ['Abdim', 0.38, {'Ab', 'D', 'B'}, 'B']
Bdim ['Ab', 0.39, {'Bb', 'D', 'Ab'}, 'Ab']
Bdim ['Abdim', 0.19, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.16, {'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.26, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.58, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.12, {'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.09, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.19, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.62, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.28, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.23, {'Ab', 'D', 'B'}, 'B']
Bdim ['Ddim', 0.3, {'F', 'Ab', 'D', 'B'}, 'B']
Bdim ['Ddim', 0.49, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.22, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.16, {'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.3, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.49, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.21, {'Ab', 'D', 'B'}, 'B']
Bdim ['Ddim', 0.16, {'F', 'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.27, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.56, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Fdim', 0.4, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.39, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.4, {'F', 'Ab', 'B'}, 'Ab']
Bdim ['Ddim', 0.36, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['B', 0.45, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['B', 0.37, {'Db', 'Ab', 'B'}, 'B']
Bdim ['Ab', 0.68, {'Bb', 'Ab', 'B'}, 'Ab']
Bdim ['Ddim', 0.38, {'Bb', 'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abmin', 0.33, {'Ab', 'Eb', 'B'}, 'B']
Bdim ['Abmin', 0.28, {'Ab', 'Eb', 'B'}, 'B']
Bdim ['Abmin', 0.63, {'Ab', 'Eb', 'B'}, 'B']
Bdim ['Ab', 0.35, {'Ab', 'Eb', 'F'}, 'Ab']
Bdim ['Fdim', 0.25, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.22, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.29, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.51, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Fdim', 0.26, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.27, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.3, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.47, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.24, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.19, {'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.31, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.59, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Fdim', 0.26, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.27, {'F', 'Ab', 'B'}, 'B']
Bdim ['Abdim', 0.35, {'Ab', 'D', 'B'}, 'B']
Bdim ['Ddim', 0.43, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Ddim', 0.21, {'F', 'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.2, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.26, {'Ab', 'D', 'B'}, 'B']
Bdim ['Ddim', 0.46, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['B', 0.43, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['B', 0.37, {'Db', 'Ab', 'B'}, 'B']
Bdim ['B', 0.65, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['Ab', 0.47, {'Bb', 'D', 'Ab'}, 'Ab']
Bdim ['Abdim', 0.37, {'Ab', 'D', 'B'}, 'B']
Bdim ['B', 0.29, {'Db', 'Ab', 'B'}, 'B']
Bdim ['B', 0.52, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['Ab', 0.45, {'Bb', 'D', 'Ab'}, 'Ab']
Bdim ['Abdim', 0.68, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Abdim', 0.52, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Abdim', 0.3, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Ddim', 0.28, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.67, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Abdim', 0.68, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Abdim', 0.4, {'Ab', 'D', 'B'}, 'Ab']
Bdim ['Ddim', 0.39, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.42, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.32, {'Ab', 'D', 'B'}, 'B']
Bdim ['Ab', 0.36, {'Db', 'Ab', 'B'}, 'Ab']
Bdim ['Ddim', 0.3, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['Abdim', 0.42, {'Ab', 'D', 'B'}, 'B']
Bdim ['B', 0.33, {'Db', 'Ab', 'B'}, 'B']
Bdim ['Ab', 0.56, {'Bb', 'Ab', 'B'}, 'Ab']
Bdim ['Ab', 0.41, {'Bb', 'D', 'Ab'}, 'Ab']
Bdim ['Abdim', 0.36, {'Ab', 'D', 'B'}, 'B']
Bdim ['Abdim', 0.25, {'Ab', 'D', 'B'}, 'B']
Bdim ['Fdim', 0.3, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.35, {'Ab', 'D', 'F'}, 'Ab']
Bdim ['B', 0.46, {'Bb', 'B', 'Ab'}, 'B']
Bdim ['B', 0.34, {'Bb', 'Ab', 'B'}, 'B']
Bdim ['B', 0.62, {'Bb', 'G', 'B'}, 'B']
Bdim ['Bb', 0.76, {'Gb', 'Ab', 'Bb'}, 'Bb']
Bdim ['Bdim', 0.24, {'F', 'D', 'B'}, 'B']
Bdim ['B', 0.25, {'F', 'B', 'E'}, 'B']
Bdim ['B', 0.65, {'B', 'E', 'F'}, 'B']
Bdim ['Bdim', 0.24, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.83, {'B', 'D', 'F'}, 'B']
Bdim ['Bdim', 0.78, {'B', 'D', 'F'}, 'B']
Bdim ['Bdim', 0.65, {'B', 'D', 'F'}, 'B']
Bdim ['Bdim', 0.65, {'B', 'D', 'F'}, 'B']
Bdim ['Bdim', 0.55, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.26, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.41, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.47, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.47, {'F', 'D', 'B'}, 'F']
Bdim ['Fdim', 0.13, {'F', 'Ab', 'B'}, 'B']
Bdim ['Bdim', 0.45, {'F', 'D', 'B'}, 'F']
Bdim ['Bdim', 0.75, {'F', 'D', 'B'}, 'B']
Bdim ['Fmaj', 0.9, {'A', 'F', 'C'}, 'C']
Bdim ['Fmaj', 0.84, {'A', 'F', 'C'}, 'C']
Bdim ['Dmin', 0.84, {'A', 'D', 'F'}, 'A']
Bdim ['Fmaj', 0.87, {'A', 'F', 'C'}, 'C']
Bdim ['Bdim', 0.39, {'F', 'D', 'B'}, 'F']
Bdim ['Bdim', 0.34, {'F', 'D', 'B'}, 'F']
Bdim ['Bdim', 0.24, {'F', 'D', 'B'}, 'F']
Bdim ['Bdim', 0.19, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.4, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.4, {'F', 'D', 'B'}, 'F']
Bdim ['Bdim', 0.22, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.21, {'F', 'D', 'B'}, 'B']
Bdim ['F', 0.67, {'F', 'E', 'B'}, 'F']
Bdim ['B', 0.25, {'F', 'E', 'B'}, 'B']
Bdim ['B', 0.28, {'Gb', 'F', 'B'}, 'B']
Bdim ['B', 0.07, {'Gb', 'A', 'B', 'Ab'}, 'B']
Bdim ['Esus2', 0.77, {'Gb', 'B', 'E'}, 'E']
Bdim ['D', 0.53, {'Gb', 'D', 'Eb'}, 'D']
Bdim ['Bmin', 0.73, {'Gb', 'D', 'B'}, 'D']
Bdim ['Bmin', 0.47, {'Gb', 'D', 'B'}, 'D']
Bdim ['D', 0.25, {'D', 'F', 'C'}, 'D']
Bdim ['C', 0.51, {'B', 'F', 'C'}, 'C']
Bdim ['C', 0.47, {'B', 'F', 'C'}, 'C']
Bdim ['D', 0.23, {'D', 'F', 'C'}, 'D']
Bdim ['D', 0.85, {'D', 'Ab', 'C'}, 'D']
Bdim ['F', 0.73, {'D', 'F', 'C'}, 'F']
Bdim ['C', 0.85, {'D', 'F', 'C'}, 'C']
Bdim ['C', 0.84, {'D', 'Ab', 'C'}, 'C']
Bdim ['Fdim', 0.36, {'B', 'F', 'Ab'}, 'B']
Bdim ['Fmin', 0.35, {'C', 'B', 'F', 'Ab'}, 'B']
Bdim ['B', 0.46, {'F', 'B', 'C'}, 'B']
Bdim ['Ddim', 0.38, {'Ab', 'D', 'F', 'C'}, 'F']
Bdim ['Esus4', 0.09, {'A', 'B', 'E'}, 'B']
Bdim ['B', 0.59, {'F', 'E', 'B'}, 'B']
Bdim ['B', 0.7, {'F', 'E', 'B'}, 'B']
Bdim ['Bdim', 0.11, {'F', 'D', 'B'}, 'B']
Bdim ['B', 0.33, {'D', 'B', 'E'}, 'B']
Bdim ['Emaj', 0.05, {'Bb', 'Ab', 'B', 'E'}, 'B']
Bdim ['Esus2', 0.1, {'Gb', 'B', 'E'}, 'B']
Bdim ['Emaj', 0.03, {'Ab', 'Bb', 'D', 'E', 'B'}, 'B']
Bdim ['Fdim', 0.42, {'F', 'Ab', 'B'}, 'B']
Bdim ['Fdim', 0.54, {'F', 'Ab', 'B'}, 'B']
Bdim ['Ddim', 0.42, {'F', 'Ab', 'D', 'B'}, 'Ab']
Bdim ['Ab', 0.33, {'Eb', 'D', 'Ab'}, 'Ab']
Bdim ['Bdim', 0.26, {'F', 'D', 'B'}, 'B']
Bdim ['B', 0.07, {'Gb', 'F', 'B'}, 'B']
Bdim ['Bdim', 0.29, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.24, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.27, {'F', 'D', 'B'}, 'D']
Bdim ['B', 0.05, {'Bb', 'F', 'B'}, 'B']
Bdim ['Bdim', 0.13, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.07, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.38, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.74, {'F', 'D', 'B'}, 'F']
Bdim ['Bdim', 0.78, {'F', 'D', 'B'}, 'F']
Bdim ['Bdim', 0.46, {'F', 'D', 'B'}, 'B']
Bdim ['Bdim', 0.46, {'F', 'D', 'B'}, 'D']
Bdim ['Esus4', 0.46, {'A', 'B', 'E'}, 'B']
Bdim ['D', 0.76, {'B', 'D', 'E'}, 'D']
Bdim ['Bdim', 0.43, {'F', 'D', 'B'}, 'B']
Cmaj ['Cmaj', 0.35, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.25, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.4, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.33, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.22, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.2, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.35, {'G', 'E', 'C'}, 'C']
Cmaj ['C', 0.13, {'Bb', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.16, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.12, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.14, {'G', 'E', 'C'}, 'C']
Cmaj ['C', 0.11, {'D', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.21, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.12, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.15, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.17, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.4, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.31, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.39, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.43, {'G', 'E', 'C'}, 'E']
Cmaj ['Cmaj', 0.5, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.21, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.65, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.38, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.32, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.44, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.38, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.18, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.51, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.32, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.53, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.23, {'G', 'E', 'C'}, 'C']
Cmaj ['Gmaj', 0.66, {'G', 'D', 'B'}, 'B']
Cmaj ['G', 0.82, {'G', 'D', 'E'}, 'G']
Cmaj ['E', 0.53, {'G', 'D', 'E'}, 'E']
Cmaj ['C', 0.23, {'E', 'B', 'C'}, 'C']
Cmaj ['Esus4', 0.79, {'Bb', 'A', 'B', 'E'}, 'E']
Cmaj ['A', 0.77, {'Bb', 'A', 'F'}, 'A']
Cmaj ['A', 0.69, {'A', 'B', 'F'}, 'A']
Cmaj ['Bb', 0.68, {'Bb', 'A', 'E'}, 'Bb']
Cmaj ['Cmaj', 0.41, {'G', 'E', 'C'}, 'G']
Cmaj ['Cmaj', 0.33, {'G', 'E', 'C'}, 'G']
Cmaj ['Cmaj', 0.5, {'G', 'E', 'C'}, 'G']
Cmaj ['Cmaj', 0.37, {'G', 'E', 'C'}, 'G']
Cmaj ['C', 0.32, {'Bb', 'D', 'C'}, 'C']
Cmaj ['C', 0.23, {'Bb', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.22, {'Bb', 'G', 'E', 'C'}, 'C']
Cmaj ['C', 0.58, {'Bb', 'D', 'C'}, 'C']
Cmaj ['C', 0.38, {'Bb', 'D', 'C'}, 'C']
Cmaj ['C', 0.26, {'Bb', 'E', 'C'}, 'C']
Cmaj ['C', 0.34, {'Bb', 'D', 'C'}, 'C']
Cmaj ['C', 0.63, {'Bb', 'D', 'C'}, 'C']
Cmaj ['Bb', 0.66, {'Bb', 'D', 'C'}, 'Bb']
Cmaj ['C', 0.9, {'Bb', 'D', 'C'}, 'C']
Cmaj ['C', 0.95, {'Bb', 'D', 'C'}, 'C']
Cmaj ['Bb', 0.71, {'Bb', 'D', 'C'}, 'Bb']
Cmaj ['C', 0.41, {'D', 'E', 'C'}, 'C']
Cmaj ['C', 0.39, {'D', 'E', 'C'}, 'C']
Cmaj ['C', 0.85, {'D', 'E', 'C'}, 'C']
Cmaj ['C', 0.44, {'D', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.21, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.16, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.24, {'G', 'E', 'C'}, 'C']
Cmaj ['C', 0.21, {'Bb', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.11, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.15, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.19, {'G', 'E', 'C'}, 'C']
Cmaj ['C', 0.11, {'Bb', 'E', 'C'}, 'C']
Cmaj ['C', 0.31, {'D', 'E', 'C'}, 'C']
Cmaj ['C', 0.26, {'D', 'E', 'C'}, 'C']
Cmaj ['C', 0.51, {'D', 'E', 'C'}, 'C']
Cmaj ['C', 0.39, {'D', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.18, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.14, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.19, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.15, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.22, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.19, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.32, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.12, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.37, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.3, {'G', 'E', 'C'}, 'C']
Cmaj ['Cmaj', 0.49, {'G', 'E', 'C'}, 'E']
Cmaj ['Cmaj', 0.32, {'G', 'E', 'C'}, 'C']
Cmaj ['', 0.73, {'Bb', 'D', 'C'}, '']
Failed to process D:\kaggle\GTR3\AllChords Evaluation\Cmaj\C_AcusticPlug1_1.wav: string index out of range
Cmaj ['C', 0.54, {'Bb', 'D', 'C'}, 'C']
Cmaj ['C', 0.47, {'Bb', 'D', 'C'}, 'C']
Cmaj ['D', 0.74, {'Bb', 'D', 'C'}, 'D']
