Adim ['Adim', 0.49, {'A', 'Eb', 'C'}, 'Eb']
Abdim ['Abdim', 0.83, {'B', 'D', 'Ab'}, 'B']
Abdim ['Abdim', 0.51, {'B', 'D', 'Ab'}, 'B']
Abdim ['Abdim', 0.54, {'B', 'D', 'Ab'}, 'B']
Abdim ['Abdim', 0.18, {'B', 'D', 'Ab'}, 'B']
Abdim ['Abdim', 0.6, {'B', 'D', 'Ab'}, 'Ab']
Abdim ['Abdim', 0.66, {'B', 'D', 'Ab'}, 'Ab']
Abdim ['Abdim', 0.6, {'B', 'D', 'Ab'}, 'Ab']
Abmaj ['Abmaj', 0.52, {'Eb', 'Ab', 'C'}, 'Eb']
Abmaj ['Abmaj', 0.6, {'Eb', 'Ab', 'C'}, 'C']
Abmaj ['Abmaj', 0.5, {'Eb', 'Ab', 'C'}, 'C']
Abmaj ['Eb', 0.73, {'Eb', 'C', 'Bb'}, 'Eb']
Abmaj ['Ebsus4', 0.82, {'Eb', 'Ab', 'C', 'Bb'}, 'C']
Abmaj ['Abmaj', 0.62, {'Eb', 'Ab', 'C'}, 'Eb']
Abmaj ['Abmaj', 0.38, {'Eb', 'Ab', 'C'}, 'Eb']
Abmaj ['Abmaj', 0.58, {'Eb', 'Ab', 'C'}, 'C']
Abmaj ['Abmaj', 0.2, {'Eb', 'Ab', 'C'}, 'C']
Abmaj ['Abmaj', 0.55, {'Eb', 'Ab', 'C'}, 'Ab']
Abmaj ['Abmaj', 0.63, {'Eb', 'Ab', 'C'}, 'Ab']
Abmaj ['Abmaj', 0.54, {'Eb', 'Ab', 'C'}, 'Eb']
Abmin ['Abmin', 0.48, {'B', 'Eb', 'Ab'}, 'B']
Abmin ['B', 0.59, {'B', 'Eb', 'Bb'}, 'B']
Abmin ['Ebsus4', 0.58, {'B', 'Eb', 'Ab', 'Bb'}, 'B']
Abmin ['Abmin', 0.63, {'B', 'Eb', 'Ab'}, 'Eb']
Abmin ['Abmin', 0.39, {'B', 'Eb', 'Ab'}, 'Eb']
Abmin ['Abmin', 0.52, {'B', 'Eb', 'Ab'}, 'B']
Abmin ['Abmin', 0.18, {'B', 'Eb', 'Ab'}, 'B']
Abmin ['Abmin', 0.55, {'B', 'Eb', 'Ab'}, 'Ab']
Abmin ['Abmin', 0.63, {'B', 'Eb', 'Ab'}, 'Ab']
Abmin ['Abmin', 0.5, {'B', 'Eb', 'Ab'}, 'Eb']
Abmin ['Abmin', 0.49, {'B', 'Eb', 'Ab'}, 'Eb']
Abmin ['Abmin', 0.55, {'B', 'Eb', 'Ab'}, 'B']
Gdim ['Gdim', 0.93, {'Db', 'G', 'Bb'}, '']
Gdim ['Db', 0.59, {'Db', 'D', 'Bb'}, 'Db']
Gdim ['Gdim', 0.63, {'Db', 'G', 'Bb'}, 'Db']
Gdim ['Gdim', 0.84, {'Db', 'G', 'Bb'}, 'G']
Gdim ['Bbmin', 0.82, {'Db', 'F', 'Bb'}, 'Db']
Gdim ['Db', 0.51, {'Db', 'D', 'Bb'}, 'Db']
Gdim ['Gdim', 0.58, {'Db', 'G', 'Bb'}, 'Db']
Gdim ['Gdim', 0.69, {'Db', 'G', 'Bb'}, 'Db']
Gdim ['Gdim', 0.3, {'Db', 'G', 'Bb'}, 'Db']
Gdim ['Gdim', 0.37, {'Db', 'G', 'Bb'}, 'G']
Gdim ['Gdim', 0.57, {'Db', 'G', 'Bb'}, 'G']
Gdim ['Gdim', 0.6, {'Db', 'G', 'Bb'}, 'G']
Gmaj ['Gmaj', 0.85, {'B', 'D', 'G'}, 'D']
Gmaj ['Gmaj', 0.55, {'B', 'G', 'D'}, 'B']
Gmaj ['Gmaj', 0.51, {'B', 'G', 'D'}, 'B']
Gmaj ['Gmaj', 0.71, {'B', 'G', 'D'}, 'B']
Gmaj ['B', 0.58, {'B', 'D', 'A'}, 'B']
Gmaj ['Gmaj', 0.47, {'B', 'D', 'G'}, 'B']
Gmaj ['Gmaj', 0.58, {'B', 'D', 'G'}, 'B']
Gmaj ['Gmaj', 0.57, {'B', 'G', 'D'}, 'B']
Gmaj ['Gmaj', 0.27, {'B', 'D', 'G'}, 'B']
Gmaj ['Gmaj', 0.39, {'B', 'G', 'D'}, 'G']
Gmaj ['Gmaj', 0.6, {'B', 'G', 'D'}, 'G']
Gmaj ['Gmaj', 0.52, {'B', 'G', 'D'}, 'G']
Gmin ['Gmin', 0.9, {'D', 'G', 'Bb'}, 'D']
Gmin ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
Gmin ['Gmin', 0.61, {'G', 'D', 'Bb'}, 'Bb']
Gmin ['Gmin', 0.81, {'G', 'D', 'Bb'}, 'D']
Gmin ['Bb', 0.89, {'A', 'D', 'Bb'}, 'Bb']
Gmin ['Gmin', 0.48, {'D', 'G', 'Bb'}, 'D']
Gmin ['Gmin', 0.59, {'D', 'G', 'Bb'}, 'D']
Gmin ['Gmin', 0.81, {'G', 'D', 'Bb'}, 'G']
Gmin ['Gmin', 0.42, {'D', 'G', 'Bb'}, 'Bb']
Gmin ['Gmin', 0.39, {'G', 'D', 'Bb'}, 'G']
Gmin ['Gmin', 0.6, {'G', 'D', 'Bb'}, 'G']
Gmin ['Gmin', 0.61, {'G', 'D', 'Bb'}, 'G']

Completed
Total chords checked: 432
Correct: 310, Incorrect: 122
Incorrect, but correct root prediction: 41
Incorrect, but correct strong note prediction: 25
